v,Target
-0.048295525,0.212012632
-0.048428701,0.211766273
-0.048548199,0.211545305
-0.048654047,0.211349647
-0.048746272,0.211179223
-0.048824904,0.21103396
-0.048889969,0.210913786
-0.048941496,0.210818633
-0.048979513,0.210748439
-0.049004049,0.210703141
-0.049015132,0.210682683
-0.049012789,0.210687008
-0.048997049,0.210716065
-0.04896794,0.210769807
-0.048925492,0.210848186
-0.048869731,0.210951162
-0.048800686,0.211078695
-0.048718387,0.211230748
-0.04862286,0.211407288
-0.048514136,0.211608284
-0.048392241,0.211833709
-0.048257205,0.212083537
-0.048109056,0.212357746
-0.047947824,0.212656317
-0.047773535,0.212979231
-0.047586219,0.213326473
-0.047385905,0.213698032
-0.047172621,0.214093896
-0.046946397,0.214514058
-0.046707259,0.21495851
-0.046455239,0.215427249
-0.046190363,0.215920271
-0.045912661,0.216437575
-0.045622162,0.216979162
-0.045318894,0.217545033
-0.045002887,0.218135191
-0.044674169,0.218749639
-0.04433277,0.219388383
-0.043978717,0.220051427
-0.043612041,0.220738778
-0.043232769,0.221450442
-0.042840931,0.222186425
-0.042436557,0.222946734
-0.042019674,0.223731376
-0.041590312,0.224540355
-0.041148501,0.225373677
-0.040694268,0.226231346
-0.040227644,0.227113367
-0.039748657,0.22801974
-0.039257337,0.228950467
-0.038753713,0.229905545
-0.038237813,0.230884973
-0.037709668,0.231888745
-0.037169306,0.232916852
-0.036616756,0.233969284
-0.036052049,0.235046028
-0.035475212,0.236147066
-0.034886276,0.237272377
-0.034285269,0.238421938
-0.033672222,0.239595719
-0.033047163,0.240793688
-0.032410121,0.242015807
-0.031761127,0.243262031
-0.03110021,0.244532315
-0.030427398,0.245826602
-0.029742721,0.247144833
-0.02904621,0.248486942
-0.028337892,0.249852856
-0.027617799,0.251242493
-0.026885958,0.252655767
-0.026547235,0.25331019
-0.026547235,0.25331019
-0.026923199,0.252583829
-0.027343396,0.251772288
-0.027807733,0.250875864
-0.028316112,0.249894873
-0.028868438,0.248829659
-0.029464615,0.247680589
-0.030104546,0.246448063
-0.030788136,0.245132511
-0.031515287,0.243734402
-0.032285904,0.242254243
-0.033099891,0.240692586
-0.03395715,0.239050031
-0.034857584,0.237327229
-0.035801098,0.235524887
-0.036787594,0.233643771
-0.037816975,0.231684712
-0.038889145,0.229648607
-0.040004007,0.227536427
-0.041161462,0.225349217
-0.042361415,0.223088103
-0.043603767,0.220754294
-0.04471907,0.218665677
-0.04471907,0.218665677
-0.044915579,0.218298336
-0.045098299,0.21795695
-0.045267258,0.21764143
-0.045422484,0.217351688
-0.045564006,0.217087638
-0.04569185,0.216849199
-0.045806045,0.21663629
-0.04590662,0.216448834
-0.0459936,0.216286758
-0.046067016,0.216149991
-0.046126895,0.216038463
-0.046173264,0.21595211
-0.046206153,0.215890869
-0.046225589,0.215854681
-0.046231601,0.215843488
-0.046224216,0.215857238
-0.046203463,0.215895878
-0.04616937,0.215959361
-0.046121966,0.216047642
-0.046061279,0.216160678
-0.045987336,0.216298429
-0.045900167,0.216460858
-0.0457998,0.216647931
-0.045686264,0.216859616
-0.045559586,0.217095884
-0.045419795,0.217356707
-0.045266921,0.217642061
-0.04510099,0.217951923
-0.044922032,0.218286275
-0.044730076,0.218645097
-0.04452515,0.219028375
-0.044307282,0.219436093
-0.044076502,0.219868239
-0.043832838,0.220324804
-0.043576318,0.220805777
-0.043306972,0.221311152
-0.043024828,0.221840921
-0.042729915,0.222395081
-0.042422262,0.222973626
-0.042101897,0.223576553
-0.04176885,0.22420386
-0.041423149,0.224855544
-0.041064823,0.225531604
-0.040693902,0.226232039
-0.040310413,0.226956846
-0.039914386,0.227706024
-0.03950585,0.228479572
-0.039084834,0.229277485
-0.038651367,0.230099762
-0.038205478,0.230946397
-0.037747196,0.231817384
-0.03727655,0.232712718
-0.036793569,0.233632388
-0.036298283,0.234576385
-0.035790719,0.235544696
-0.035270909,0.236537305
-0.03473888,0.237554195
-0.034194662,0.238595346
-0.033638285,0.239660732
-0.033069776,0.240750327
-0.032489167,0.241864101
-0.031896485,0.243002017
-0.03129176,0.244164038
-0.030675022,0.245350118
-0.030046299,0.246560209
-0.029405622,0.247794258
-0.028753018,0.249052205
-0.028088519,0.250333984
-0.027412153,0.251639525
-0.02672395,0.25296875
-0.026023938,0.254321573
-0.025312148,0.255697904
-0.024588608,0.257097644
-0.023853349,0.258520685
-0.0231064,0.259966912
-0.02234779,0.261436204
-0.021577548,0.262928426
-0.020795705,0.264443439
-0.020694134,0.264640275
-0.020694134,0.264640275
-0.021024102,0.264000838
